Albuquerque NM,Med,1992,570,57,243,2670,6275,10.47,59.01,1.20,1.15,,,,4845,52,9,28,9039,55,24,54,1.10,59,1.13,51,,,373,55,661,47
Albuquerque NM,Med,1993,580,58,250,2940,6300,10.78,60.84,1.21,1.20,,,,5568,50,10,24,10390,53,26,49,1.12,44,1.14,50,,,417,51,737,39
Albuquerque NM,Med,1994,595,57,260,3100,6335,11.06,62.23,1.18,1.17,,,,6052,48,11,20,11292,53,28,47,1.12,51,1.14,58,,,442,51,781,38
Albuquerque NM,Med,1995,620,56,274,3255,6425,11.37,64.27,1.23,1.23,,,,6722,49,12,20,12543,51,29,48,1.13,47,1.15,55,,,477,51,844,34
Albuquerque NM,Med,1996,645,55,289,3505,6490,11.71,66.20,1.31,1.31,,,,7567,48,13,17,14119,52,31,45,1.14,45,1.16,53,,,521,51,922,28
Albuquerque NM,Med,1997,650,54,295,3585,6650,11.98,66.83,1.25,1.29,,,,8458,47,15,12,15781,51,35,36,1.15,41,1.18,48,,,570,49,1008,22
Albuquerque NM,Med,1998,660,54,303,3720,6500,12.17,65.76,1.12,1.18,,,,9255,46,16,12,17268,51,37,31,1.16,37,1.19,45,,,614,48,1086,17
Albuquerque NM,Med,1999,660,55,307,3825,6500,12.43,66.76,1.20,1.20,,,,9824,47,17,12,18330,51,39,28,1.17,37,1.20,42,,,638,48,1128,17
Albuquerque NM,Med,2000,660,55,311,3875,6600,12.85,70.47,1.52,1.48,,,,9958,48,18,12,18579,52,39,33,1.17,38,1.20,46,,,625,50,1106,23
Albuquerque NM,Med,2001,670,55,319,3980,6670,13.22,71.38,1.55,1.61,,,,10051,48,18,15,18755,52,39,36,1.17,39,1.19,51,,,614,51,1086,28
Albuquerque NM,Med,2002,655,59,317,4100,6785,13.43,70.86,1.37,1.34,,,,10143,49,18,19,18925,53,40,34,1.18,38,1.20,47,,,610,52,1078,33
Albuquerque NM,Med,2003,675,57,330,4285,7050,13.73,72.23,1.52,1.51,,,,10243,53,18,25,19113,53,39,43,1.17,46,1.19,53,,,602,52,1065,35
Albuquerque NM,Med,2004,685,57,337,4515,7240,14.10,74.17,1.92,2.00,,,,10414,53,18,33,19431,54,39,43,1.17,48,1.19,55,,,596,53,1054,40
Albuquerque NM,Med,2005,695,57,343,4665,7335,14.58,78.05,2.36,2.56,,,,10605,53,19,30,19787,55,39,48,1.17,51,1.19,58,,,587,53,1039,44
Albuquerque NM,Med,2006,700,57,348,4750,7445,15.06,80.43,2.65,2.91,,,,10627,54,19,33,19829,56,38,55,1.17,55,1.19,59,,,569,54,1007,49
Albuquerque NM,Med,2007,705,57,353,4875,7470,15.47,82.56,3.24,3.61,,,,10753,54,19,41,20063,56,38,55,1.17,58,1.19,63,,,561,56,992,55
Albuquerque NM,Med,2008,710,57,357,4925,7460,16.10,81.52,3.43,4.14,,,,10909,53,19,41,20354,55,38,56,1.17,56,1.19,65,,,548,55,969,52
Albuquerque NM,Med,2009,725,56,366,5150,7500,16.01,89.75,2.32,2.55,,,,10470,53,19,35,19535,56,36,59,1.16,56,1.18,62,,,528,55,934,53
Albuquerque NM,Med,2010,740,57,370,5326,7566,16.30,88.12,2.71,2.94,,,,10453,54,18,48,19503,57,35,66,1.16,57,1.18,65,,,518,55,917,55
Albuquerque NM,Med,2011,740,57,364,5469,7627,16.79,86.81,3.31,3.69,,,,10596,54,19,44,19771,58,36,62,1.16,61,1.18,66,,,509,55,901,57
Albuquerque NM,Med,2012,740,57,360,5025,7220,17.14,89.56,3.24,3.89,,,,10705,54,19,47,19975,58,37,57,1.16,63,1.19,60,,,504,56,892,61
Albuquerque NM,Med,2013,745,57,359,4818,7584,17.39,89.60,3.42,3.84,,,,10829,54,19,49,20206,58,37,61,1.16,63,1.19,60,,,503,57,889,61
Albuquerque NM,Med,2014,760,57,380,4736,7834,17.67,94.04,3.20,3.57,20,18,2,10961,54,19,51,20452,58,36,70,1.16,65,1.18,71,2,69,501,56,886,63
Allentown PA-NJ,Med,1982,440,63,172,1735,2965,7.20,43.08,1.35,1.32,,,,1858,56,3,36,3636,55,11,54,1.07,35,1.09,43,,,205,56,362,48
Allentown PA-NJ,Med,1983,450,61,178,1885,2980,7.43,44.23,1.30,1.26,,,,2000,54,4,29,3915,56,12,52,1.07,39,1.09,47,,,214,56,378,48
Allentown PA-NJ,Med,1984,455,61,181,1870,3030,7.75,46.47,1.27,1.23,,,,2071,56,4,34,4054,58,12,56,1.07,42,1.09,49,,,212,58,375,58
Allentown PA-NJ,Med,1985,465,62,187,1865,3100,8.03,47.83,1.25,1.22,,,,2189,57,4,40,4286,60,12,63,1.07,48,1.09,53,,,217,64,383,62
Allentown PA-NJ,Med,1986,475,64,192,1980,3205,8.18,46.57,0.96,0.93,,,,2371,58,4,48,4641,61,13,65,1.07,49,1.09,56,,,230,63,407,63
Allentown PA-NJ,Med,1987,485,63,197,2100,3260,8.48,48.53,0.98,0.95,,,,2658,57,5,39,5203,60,14,64,1.07,55,1.08,67,,,249,62,440,64
Allentown PA-NJ,Med,1988,490,62,201,2225,3315,8.83,50.04,0.98,0.95,,,,2701,58,5,47,5288,61,14,75,1.07,60,1.09,66,,,243,64,429,68
Allentown PA-NJ,Med,1989,500,62,207,2310,3375,9.25,52.81,1.06,1.03,,,,2824,61,5,57,5528,63,14,80,1.07,66,1.08,79,,,243,65,428,69
Allentown PA-NJ,Med,1990,505,62,210,2430,3450,9.75,55.03,1.30,1.08,,,,3311,59,6,51,6481,63,17,71,1.07,76,1.09,75,,,270,63,476,66
Allentown PA-NJ,Med,1991,520,61,220,2480,3560,10.17,57.31,1.16,1.29,,,,3516,61,6,58,6882,64,17,78,1.09,62,1.10,74,,,275,64,485,68
Allentown PA-NJ,Med,1992,525,62,225,2670,3800,10.47,59.01,1.14,1.28,,,,4091,59,7,53,8009,59,20,68,1.11,49,1.13,51,,,311,62,548,62
Allentown PA-NJ,Med,1993,530,62,230,2940,4020,10.78,60.84,1.09,1.21,,,,4670,56,8,50,9141,58,22,68,1.12,44,1.14,50,,,344,57,608,59
Allentown PA-NJ,Med,1994,540,62,237,3100,4210,11.06,62.23,1.04,1.15,,,,5462,54,10,37,10693,56,25,62,1.13,42,1.15,51,,,393,56,693,50
Allentown PA-NJ,Med,1995,550,62,244,3255,4335,11.37,64.27,1.19,1.32,,,,6290,52,11,35,12314,55,28,53,1.15,36,1.17,46,,,440,53,776,43
Allentown PA-NJ,Med,1996,560,62,252,3505,4505,11.71,66.20,1.26,1.39,,,,7263,51,13,17,14217,51,31,45,1.17,30,1.19,41,,,493,53,870,33
Allentown PA-NJ,Med,1997,575,61,262,3585,4710,11.98,66.83,1.19,1.30,,,,7873,50,14,18,15411,52,33,45,1.16,37,1.18,48,,,523,52,922,31
